School_Name,City,State,Population 2020 Census,Median salary for HS graduate (equivalency) US Career Institute,Median Household Income Census,BachPlus Census,EmployRate Census,Median Individual Income by State (2022),Percentage with 4 year education or higher,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate,Total_Cost,ROI,Column1
The University of Montana-Western,Dillon,MT,1084225,29874,67631,0.346,0.611,34350,0.346,3,33,0.3333,635,624,1283,5726,17190,0.4178,0.24,1,924,8280,3600,11206,3600,36700,14,33563,49486,0.11,7052,,42280,47125.83,0.4873,7639,5083,0.7295,138026,0.265891933,1.063567734
Eastern New Mexico University-Main Campus,Portales,NM,2117522,27893,59726,0.305,0.548,31063,0.305,3,33,0.325,570,530,2861,6648,8688,0.3993,0.2142,1,950,7814,4498,7498,4498,34800,16,31346,44369,0.1,7244,,28573,42974.58,0.2271,6333,5217,0.6035,131482,0.264675013,1.05870005
University of Alaska Fairbanks,Fairbanks,AK,733391,37365,88121,0.306,0.599,40985,0.306,3,23,0.6469,680,680,4108,7248,21384,0.3845,0.2634,1,2000,10540,2650,12050,4250,45100,12,41851,55256,0.15,9570,,35967,65084.81,0.1844,19104,9274,0.729,171898,0.262364891,1.049459563
Mayville State University,Mayville,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,43,0.6099,635,624,866,7622,10756,0.3185,0.1811,1,1000,8955,3100,8955,3100,43300,14,41972,53001,0.13,6135,,47272,51474.96,0.4524,8504,6660,0.6245,167553,0.258425692,1.033702769
University of Hawaii at Hilo,Hilo,HI,1455271,35311,92458,0.354,0.574,41850,0.354,3,33,0.9217,630,580,2630,7838,20798,0.427,0.273,1,1350,8248,3966,12786,11338,41800,13,43384,50712,0.14,10873,,27504,59308.27,0.3253,16118,7133,0.7125,162646,0.256999865,1.027999459
Colorado Mesa University,Grand Junction,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,13,0.8024,610,590,7904,9000,22322,0.3809,0.2758,1,1560,11265,3110,8478,3110,42300,18,38798,51236,0.13,7164,,44794,56304.4,0.3896,9082,8250,0.7357,165507,0.255578314,1.022313256
Valley City State University,Valley City,ND,779094,36719,71970,0.318,0.661,41128,0.318,3,33,0.8145,585,605,942,8195,12969,0.5318,0.3468,1,1100,6919,3802,6919,3802,41700,13,43091,53897,0.21,6273,,59878,48927.68,0.3595,11036,6158,0.6667,166892,0.249862186,0.999448745
University of Hawaii-West Oahu,Kapolei,HI,1455271,35311,92458,0.354,0.574,41850,0.354,3,21,0.9462,650,570,2651,7584,20544,0.3682,0.1339,1,1350,10950.8169,3863.484507,16104,4936,41100,18,51531,56891,0.15,10225,,28758,74812.42,0.2383,11799,5404,0.6812,164992.3014,0.249102532,0.996410127
Colorado State University Pueblo,Pueblo,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,12,0.9917,570,560,3092,9005,15659,0.3856,0.2078,1,1854,11170,5516,11783,5516,41600,15,44520,53002,0.1,6918,,38397,54713.6,0.5808,5348,4860,0.6556,168117,0.247446719,0.989786875
Northern State University,Aberdeen,SD,886667,31896,69728,0.316,0.643,37048,0.316,3,33,0.7982,600,590,1344,8845,11947,0.4757,0.3697,1,1200,9150,4300,9150,4300,37300,16,40635,49597,0.13,7502,,52170,48289.97,0.2739,9854,5375,0.7224,151079,0.2468907,0.987562798
College of Southern Idaho,Twin Falls,ID,1839106,31007,72785,0.323,0.602,33432,0.323,2,33,1,635,624,3550,3360,6840,0.2673,,1,990,5750,4448,5022,4448,33700,22,32381,46367,0.1,6195,,30300,48219.28,0.0769,6065,2599,,138576,0.243187854,0.972751414
Fort Lewis College,Durango,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,32,0.9275,620,580,3260,9004,19660,0.4406,0.2958,1,1240,12012,3714,10528,3714,39400,14,39216,43974,0.15,7218,,41306.5,61685.3,0.3117,9153,3815,0.6096,166542,0.23657696,0.946307838
University of Alaska Southeast,Juneau,AK,733391,37365,88121,0.306,0.599,40985,0.306,1,33,0.5625,635,624,999,6960,21096,0.3034,0.1286,1,1400,9800,2448,10872,3716,39500,9,41544,41567,0.11,8436,,34718,73622.06,0.144,15362,8622,0.6406,170068,0.232260037,0.929040149
Adams State University,Alamosa,CO,5773714,35143,89302,0.459,0.656,44196,0.459,3,33,0.9983,570,570,1484,9680,17933,0.287,0.2198,1,1800,9167,3150,11844,3150,38100,11,34744,43238,0.1,6465,,31933,50726.71,0.4932,8530,6779,0.5926,164369,0.231795533,0.927182133
Northern New Mexico College,Espanola,NM,2117522,27893,59726,0.305,0.548,31063,0.305,2,32,1,635,624,876,4952,13676,0.3644,0.102,1,1200,10950.8169,3863.484507,8506,4688,30000,11,39463,39052,0.1,6355,,16868,43101.41,0.047,10709,5289,0.4634,132538.3014,0.226349664,0.905398656
The Evergreen State College,Olympia,WA,7705281,36702,91306,0.395,0.611,44586,0.395,3,22,0.9946,630,570,1819,8529,29172,0.4323,0.3229,1,900,13149,3525,13149,3525,36900,14,40885,45150,0.13,8267,,22200,63843.36,0.4322,10947,6958,0.6337,172911,0.213404584,0.853618335
University of Hawaii Maui College,Kahului,HI,1455271,35311,92458,0.354,0.574,41850,0.354,2,13,1,635,624,1915,3278,8414,0.3055,0.1111,1,1350,10950.8169,3863.484507,15896,4988,34200,15,34887,38852,0.09,9045,,21722,67245.41,0.0518,18388,3247,0.75,160686.3014,0.21283706,0.851348241
Nevada State College,Henderson,NV,3104614,32823,72333,0.27,0.593,36671,0.27,3,41,0.7902,635,624,4110,6075,19440,0.2851,0.0868,1,1300,10950.8169,3863.484507,10830,6446,,18,52006,53789,0.08,7531,,31751.5,,0.1588,4574,3506,0.775,153481.3014,0,0
Dixie Technical College,Saint George,UT,3271616,33905,89168,0.379,0.678,37332,0.379,1,13,0.6652,635,624,882,,,,,3,,8810.5,4401,9035.2,4253.6,,7,,,,,25,21129,,0,13075,2886,,148831.5,0,0
